iter	RMSE
0	7.543952942
1	7.387985663
2	7.250657801
3	7.104938514
4	6.972134812
5	6.841661643
6	6.717511098
7	6.596124714
8	6.473302504
9	6.356974877
10	6.250177209
11	6.139901873
12	6.031297112
13	5.927243827
14	5.830978861
15	5.734709649
16	5.644145469
17	5.559666502
18	5.473043762
19	5.391691825
20	5.308473657
21	5.228260323
22	5.156867531
23	5.085588425
24	5.016959349
25	4.94997031
26	4.887223355
27	4.825521402
28	4.763754912
29	4.707304622
30	4.652670322
31	4.601965297
32	4.549294917
33	4.499402752
34	4.447407875
35	4.400651323
36	4.35669782
37	4.314792814
38	4.274723229
39	4.234546904
40	4.195535483
41	4.157930596
42	4.12082034
43	4.085825933
44	4.051031922
45	4.020678912
46	3.992772633
47	3.963021896
48	3.936412175
49	3.904171197
50	3.875001852
51	3.846249451
52	3.823395648
53	3.796784183
54	3.771784064
55	3.749337208
56	3.726957585
57	3.706149303
58	3.68531283
59	3.665750247
60	3.648664107
61	3.627378582
62	3.609483533
63	3.593211771
64	3.576290815
65	3.560760777
66	3.545095595
67	3.528651335
68	3.513955285
69	3.496912742
70	3.483768146
71	3.47162637
72	3.457665637
73	3.443784234
74	3.430427806
75	3.41760372
76	3.407012086
77	3.397415754
78	3.38756228
79	3.376218916
80	3.366256847
81	3.353656973
82	3.345360502
83	3.335470492
84	3.326769356
85	3.317807317
86	3.309939815
87	3.301873197
88	3.293675136
89	3.285466259
90	3.276251623
91	3.268229497
92	3.261812688
93	3.254946817
94	3.247365552
95	3.240746071
96	3.234789931
97	3.227927635
98	3.221707073
99	3.21272323
100	3.208803815
101	3.203164742
102	3.197990736
103	3.19112118
104	3.185329309
105	3.179938229
106	3.17510854
107	3.169798824
108	3.16409263
109	3.156647003
110	3.151416062
111	3.146355832
112	3.141601353
113	3.136313091
114	3.129833811
115	3.125843182
116	3.122542395
117	3.118786325
118	3.111781928
119	3.107782777
120	3.102861472
121	3.098703148
122	3.093677582
123	3.088183026
124	3.084503732
125	3.079498288
126	3.075871619
127	3.072547037
128	3.069168578
129	3.062360898
130	3.058018228
131	3.054063833
132	3.050654014
133	3.046801686
134	3.043638445
135	3.04086247
136	3.038235864
137	3.035356333
138	3.032260512
139	3.029380152
140	3.026983245
141	3.024457369
142	3.021743977
143	3.01903693
144	3.016217659
145	3.013675828
146	3.010941998
147	3.008324714
148	3.006568522
149	3.00299238
150	3.001478658
151	2.998694467
152	2.996499838
153	2.993150083
154	2.988672552
155	2.984936816
156	2.982324989
157	2.980484502
158	2.978063717
159	2.975407259
160	2.972944815
161	2.970825498
162	2.968551034
163	2.96750559
164	2.965352416
165	2.962437977
166	2.960019902
167	2.957174104
168	2.954954901
169	2.951370102
170	2.948586728
171	2.94696324
172	2.944552711
173	2.942569469
174	2.940299706
175	2.938744778
176	2.9374617
177	2.93510769
178	2.93372939
179	2.931854595
180	2.930254004
181	2.92764633
182	2.925034677
183	2.923418254
184	2.921159402
185	2.919817778
186	2.917735214
187	2.91626147
188	2.914030648
189	2.912522903
190	2.91081804
191	2.908965549
192	2.9070928
193	2.904663492
194	2.902422034
195	2.900167092
196	2.898224854
197	2.896329203
198	2.895152729
199	2.8931515
200	2.891909857
201	2.890195979
202	2.887958895
