iter	Passed	Remaining
0	6	18726
1	11	17377
2	17	17394
3	21	16335
4	27	16501
5	33	16702
6	39	16721
7	44	16486
8	48	16191
9	55	16621
10	61	16596
11	67	16874
12	72	16747
13	77	16581
14	82	16372
15	87	16231
16	92	16172
17	97	16136
18	101	16002
19	107	15964
20	112	15893
21	116	15799
22	121	15698
23	126	15652
24	130	15570
25	134	15437
26	140	15416
27	145	15427
28	149	15349
29	154	15270
30	158	15226
31	164	15213
32	168	15167
33	173	15113
34	178	15086
35	182	15053
36	187	15018
37	192	14997
38	197	14987
39	202	14959
40	206	14931
41	211	14919
42	216	14907
43	221	14873
44	226	14841
45	231	14838
46	235	14812
47	240	14774
48	245	14784
49	250	14770
50	254	14735
51	259	14724
52	264	14695
53	268	14670
54	273	14646
55	278	14629
56	282	14606
57	287	14575
58	292	14564
59	296	14544
60	301	14524
61	306	14512
62	310	14494
63	315	14477
64	320	14481
65	325	14477
66	330	14451
67	334	14441
68	339	14419
69	344	14407
70	349	14409
71	354	14431
72	359	14429
73	364	14410
74	369	14397
75	374	14392
76	378	14372
77	383	14359
78	389	14412
79	397	14499
80	404	14570
81	411	14655
82	416	14628
83	421	14627
84	426	14635
85	431	14617
86	436	14612
87	441	14600
88	445	14586
89	450	14560
90	456	14591
91	464	14669
92	469	14676
93	475	14693
94	482	14747
95	489	14792
96	495	14829
97	502	14866
98	506	14854
99	511	14836
100	518	14875
101	525	14928
102	531	14948
103	539	15028
104	550	15175
105	558	15234
106	565	15291
107	572	15326
108	580	15405
109	588	15458
110	592	15431
111	599	15451
112	604	15449
113	610	15452
114	616	15461
115	621	15462
116	626	15447
117	639	15630
118	646	15640
119	652	15660
120	658	15676
121	664	15679
122	670	15687
123	676	15686
124	681	15678
125	686	15666
126	692	15673
127	698	15682
128	704	15685
129	710	15688
130	715	15672
131	719	15642
132	726	15654
133	735	15736
134	741	15744
135	746	15727
136	752	15725
137	757	15713
138	763	15719
139	768	15706
140	773	15684
141	778	15676
142	788	15748
143	793	15735
144	798	15728
145	804	15723
146	809	15720
147	814	15699
148	819	15678
149	824	15671
150	830	15664
151	835	15656
152	840	15636
153	846	15643
154	851	15636
155	857	15627
156	862	15624
157	868	15624
158	873	15610
159	879	15603
160	884	15600
161	890	15595
162	894	15571
163	899	15553
164	904	15541
165	909	15533
166	914	15511
167	920	15516
168	926	15512
169	931	15502
170	936	15493
171	940	15470
172	946	15458
173	951	15447
174	956	15433
175	960	15413
176	966	15416
177	974	15447
178	982	15487
179	988	15482
180	994	15493
181	1001	15513
182	1010	15553
183	1016	15555
184	1024	15593
185	1031	15603
186	1036	15592
187	1041	15571
188	1047	15572
189	1053	15575
190	1057	15558
191	1062	15541
192	1067	15525
193	1073	15531
194	1081	15557
195	1086	15547
196	1092	15542
197	1098	15542
198	1105	15556
199	1115	15611
200	1122	15626
201	1128	15632
202	1135	15650
203	1142	15656
204	1151	15698
205	1157	15703
206	1163	15701
207	1177	15800
208	1187	15856
209	1196	15899
210	1204	15920
211	1212	15950
212	1218	15937
213	1224	15941
214	1231	15952
215	1238	15964
216	1243	15947
217	1249	15945
218	1254	15935
219	1259	15921
220	1264	15905
221	1270	15900
222	1277	15906
223	1283	15901
224	1288	15890
225	1294	15884
226	1301	15893
227	1306	15881
228	1311	15875
229	1317	15863
230	1322	15852
231	1327	15837
232	1333	15835
233	1341	15858
234	1347	15853
235	1352	15842
236	1357	15828
237	1363	15820
238	1369	15815
239	1374	15806
240	1380	15799
241	1385	15794
242	1391	15784
243	1397	15780
244	1402	15772
245	1408	15764
246	1413	15751
247	1418	15744
248	1427	15776
249	1435	15793
250	1443	15805
251	1448	15798
252	1453	15784
253	1459	15779
254	1466	15789
