Date,Time,CO(GT),CO ppm,C6H6(GT),C6H6 ppm,,
3/10/2004,18:00:00,2.6,2.270,11.9,0.00372,,
3/10/2004,19:00:00,2,1.746,9.4,0.00294,,
3/10/2004,20:00:00,2.2,1.920,9.0,0.00282,,
3/10/2004,21:00:00,2.2,1.920,9.2,0.00289,,
3/10/2004,22:00:00,1.6,1.397,6.5,0.00204,,
3/10/2004,23:00:00,1.2,1.047,4.7,0.00148,,
3/11/2004,0:00:00,1.2,1.047,3.6,0.00113,,
3/11/2004,1:00:00,1,0.873,3.3,0.00104,,
3/11/2004,2:00:00,0.9,0.786,2.3,0.00073,,
3/11/2004,3:00:00,0.6,0.524,1.7,0.00053,,
3/11/2004,4:00:00,-200,-174.581,1.3,0.00040,,
3/11/2004,5:00:00,0.7,0.611,1.1,0.00035,,
3/11/2004,6:00:00,0.7,0.611,1.6,0.00050,,
3/11/2004,7:00:00,1.1,0.960,3.2,0.00102,,
3/11/2004,8:00:00,2,1.746,8.0,0.00251,,
3/11/2004,9:00:00,2.2,1.920,9.5,0.00299,,
3/11/2004,10:00:00,1.7,1.484,6.3,0.00198,,
3/11/2004,11:00:00,1.5,1.309,5.0,0.00156,,
3/11/2004,12:00:00,1.6,1.397,5.2,0.00163,,
3/11/2004,13:00:00,1.9,1.659,7.3,0.00228,,
3/11/2004,14:00:00,2.9,2.531,11.5,0.00361,,
3/11/2004,15:00:00,2.2,1.920,8.8,0.00276,,
3/11/2004,16:00:00,2.2,1.920,8.3,0.00260,,
3/11/2004,17:00:00,2.9,2.531,11.2,0.00349,,
3/11/2004,18:00:00,4.8,4.190,20.8,0.00651,,
3/11/2004,19:00:00,6.9,6.023,27.4,0.00856,,
3/11/2004,20:00:00,6.1,5.325,24.0,0.00752,,
3/11/2004,21:00:00,3.9,3.404,12.8,0.00400,,
3/11/2004,22:00:00,1.5,1.309,4.7,0.00147,,
3/11/2004,23:00:00,1,0.873,2.6,0.00083,,
3/12/2004,0:00:00,1.7,1.484,5.9,0.00183,,
3/12/2004,1:00:00,1.9,1.659,6.4,0.00200,,
3/12/2004,2:00:00,1.4,1.222,4.1,0.00129,,
3/12/2004,3:00:00,0.8,0.698,1.9,0.00059,,
3/12/2004,4:00:00,-200,-174.581,1.1,0.00033,,
3/12/2004,5:00:00,0.6,0.524,1.0,0.00032,,
3/12/2004,6:00:00,0.8,0.698,1.8,0.00057,,
3/12/2004,7:00:00,1.4,1.222,4.4,0.00136,,
3/12/2004,8:00:00,4.4,3.841,17.9,0.00559,,
3/12/2004,9:00:00,-200,-174.581,22.1,0.00691,,
3/12/2004,10:00:00,3.1,2.706,14.0,0.00439,,
3/12/2004,11:00:00,2.7,2.357,11.6,0.00365,,
3/12/2004,12:00:00,2.1,1.833,10.2,0.00320,,
3/12/2004,13:00:00,2.5,2.182,11.0,0.00346,,
3/12/2004,14:00:00,2.7,2.357,12.8,0.00401,,
3/12/2004,15:00:00,2.9,2.531,14.2,0.00444,,
3/12/2004,16:00:00,2.8,2.444,12.7,0.00397,,
3/12/2004,17:00:00,2.4,2.095,11.7,0.00367,,
3/12/2004,18:00:00,3.9,3.404,19.3,0.00604,,
3/12/2004,19:00:00,3.7,3.230,18.2,0.00571,,
3/12/2004,20:00:00,6.6,5.761,32.6,0.01019,,
3/12/2004,21:00:00,4.4,3.841,20.1,0.00629,,
3/12/2004,22:00:00,3.5,3.055,14.3,0.00448,,
3/12/2004,23:00:00,5.4,4.714,21.8,0.00683,,
3/13/2004,0:00:00,2.7,2.357,9.6,0.00302,,
3/13/2004,1:00:00,1.9,1.659,7.4,0.00231,,
3/13/2004,2:00:00,1.6,1.397,5.4,0.00168,,
3/13/2004,3:00:00,1.7,1.484,5.4,0.00169,,
3/13/2004,4:00:00,-200,-174.581,6.2,0.00194,,
3/13/2004,5:00:00,1,0.873,2.6,0.00081,,
3/13/2004,6:00:00,1.2,1.047,2.9,0.00091,,
3/13/2004,7:00:00,1.5,1.309,5.1,0.00161,,
3/13/2004,8:00:00,2.7,2.357,11.8,0.00370,,
3/13/2004,9:00:00,3.7,3.230,15.1,0.00474,,
3/13/2004,10:00:00,3.2,2.793,12.9,0.00404,,
3/13/2004,11:00:00,4.1,3.579,16.1,0.00505,,
3/13/2004,12:00:00,3.6,3.142,14.0,0.00439,,
3/13/2004,13:00:00,2.8,2.444,12.3,0.00384,,
