Day,Month,Year,Hour,CO(GT),C6H6(GT),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
10,3,2004,18,2.6,11.9,False,False,True,False,False,False,False
10,3,2004,19,2.0,9.4,False,False,True,False,False,False,False
10,3,2004,20,2.2,9.0,False,False,True,False,False,False,False
10,3,2004,21,2.2,9.2,False,False,True,False,False,False,False
10,3,2004,22,1.6,6.5,False,False,True,False,False,False,False
10,3,2004,23,1.2,4.7,False,False,True,False,False,False,False
11,3,2004,0,1.2,3.6,False,False,False,True,False,False,False
11,3,2004,1,1.0,3.3,False,False,False,True,False,False,False
11,3,2004,2,0.9,2.3,False,False,False,True,False,False,False
11,3,2004,3,0.6,1.7,False,False,False,True,False,False,False
11,3,2004,4,0.1,1.3,False,False,False,True,False,False,False
11,3,2004,5,0.7,1.1,False,False,False,True,False,False,False
11,3,2004,6,0.7,1.6,False,False,False,True,False,False,False
11,3,2004,7,1.1,3.2,False,False,False,True,False,False,False
11,3,2004,8,2.0,8.0,False,False,False,True,False,False,False
11,3,2004,9,2.2,9.5,False,False,False,True,False,False,False
11,3,2004,10,1.7,6.3,False,False,False,True,False,False,False
11,3,2004,11,1.5,5.0,False,False,False,True,False,False,False
11,3,2004,12,1.6,5.2,False,False,False,True,False,False,False
11,3,2004,13,1.9,7.3,False,False,False,True,False,False,False
11,3,2004,14,2.9,11.5,False,False,False,True,False,False,False
11,3,2004,15,2.2,8.8,False,False,False,True,False,False,False
11,3,2004,16,2.2,8.3,False,False,False,True,False,False,False
11,3,2004,17,2.9,11.2,False,False,False,True,False,False,False
11,3,2004,18,4.8,20.8,False,False,False,True,False,False,False
11,3,2004,19,6.9,27.4,False,False,False,True,False,False,False
11,3,2004,20,6.1,24.0,False,False,False,True,False,False,False
11,3,2004,21,3.9,12.8,False,False,False,True,False,False,False
11,3,2004,22,1.5,4.7,False,False,False,True,False,False,False
11,3,2004,23,1.0,2.6,False,False,False,True,False,False,False
12,3,2004,0,1.7,5.9,False,False,False,False,True,False,False
12,3,2004,1,1.9,6.4,False,False,False,False,True,False,False
12,3,2004,2,1.4,4.1,False,False,False,False,True,False,False
12,3,2004,3,0.8,1.9,False,False,False,False,True,False,False
12,3,2004,4,0.1,1.1,False,False,False,False,True,False,False
12,3,2004,5,0.6,1.0,False,False,False,False,True,False,False
12,3,2004,6,0.8,1.8,False,False,False,False,True,False,False
12,3,2004,7,1.4,4.4,False,False,False,False,True,False,False
12,3,2004,8,4.4,17.9,False,False,False,False,True,False,False
12,3,2004,9,1.333333,22.1,False,False,False,False,True,False,False
12,3,2004,10,3.1,14.0,False,False,False,False,True,False,False
12,3,2004,11,2.7,11.6,False,False,False,False,True,False,False
12,3,2004,12,2.1,10.2,False,False,False,False,True,False,False
12,3,2004,13,2.5,11.0,False,False,False,False,True,False,False
12,3,2004,14,2.7,12.8,False,False,False,False,True,False,False
12,3,2004,15,2.9,14.2,False,False,False,False,True,False,False
12,3,2004,16,2.8,12.7,False,False,False,False,True,False,False
12,3,2004,17,2.4,11.7,False,False,False,False,True,False,False
12,3,2004,18,3.9,19.3,False,False,False,False,True,False,False
12,3,2004,19,3.7,18.2,False,False,False,False,True,False,False
12,3,2004,20,6.6,32.6,False,False,False,False,True,False,False
12,3,2004,21,4.4,20.1,False,False,False,False,True,False,False
12,3,2004,22,3.5,14.3,False,False,False,False,True,False,False
12,3,2004,23,5.4,21.8,False,False,False,False,True,False,False
13,3,2004,0,2.7,9.6,False,False,False,False,False,True,False
13,3,2004,1,1.9,7.4,False,False,False,False,False,True,False
13,3,2004,2,1.6,5.4,False,False,False,False,False,True,False
13,3,2004,3,1.7,5.4,False,False,False,False,False,True,False
13,3,2004,4,0.1,6.2,False,False,False,False,False,True,False
13,3,2004,5,1.0,2.6,False,False,False,False,False,True,False
13,3,2004,6,1.2,2.9,False,False,False,False,False,True,False
13,3,2004,7,1.5,5.1,False,False,False,False,False,True,False
13,3,2004,8,2.7,11.8,False,False,False,False,False,True,False
13,3,2004,9,3.7,15.1,False,False,False,False,False,True,False
13,3,2004,10,3.2,12.9,False,False,False,False,False,True,False
13,3,2004,11,4.1,16.1,False,False,False,False,False,True,False
13,3,2004,12,3.6,14.0,False,False,False,False,False,True,False
13,3,2004,13,2.8,12.3,False,False,False,False,False,True,False
13,3,2004,14,2.0,8.6,False,False,False,False,False,True,False
13,3,2004,15,2.0,9.2,False,False,False,False,False,True,False
13,3,2004,16,2.5,10.2,False,False,False,False,False,True,False
13,3,2004,17,2.3,10.6,False,False,False,False,False,True,False
13,3,2004,18,3.2,15.5,False,False,False,False,False,True,False
13,3,2004,19,4.2,19.6,False,False,False,False,False,True,False
13,3,2004,20,4.2,19.2,False,False,False,False,False,True,False
13,3,2004,21,4.2,18.3,False,False,False,False,False,True,False
13,3,2004,22,3.1,13.1,False,False,False,False,False,True,False
13,3,2004,23,2.6,10.9,False,False,False,False,False,True,False
14,3,2004,0,2.9,11.0,False,False,False,False,False,False,True
14,3,2004,1,2.8,11.9,False,False,False,False,False,False,True
14,3,2004,2,2.5,8.6,False,False,False,False,False,False,True
14,3,2004,3,2.4,9.7,False,False,False,False,False,False,True
14,3,2004,4,0.1,5.2,False,False,False,False,False,False,True
14,3,2004,5,1.2,3.7,False,False,False,False,False,False,True
14,3,2004,6,1.0,2.5,False,False,False,False,False,False,True
14,3,2004,7,0.9,2.4,False,False,False,False,False,False,True
14,3,2004,8,1.4,4.2,False,False,False,False,False,False,True
14,3,2004,9,1.6,6.4,False,False,False,False,False,False,True
14,3,2004,10,2.2,8.6,False,False,False,False,False,False,True
14,3,2004,11,2.8,10.9,False,False,False,False,False,False,True
14,3,2004,12,2.8,10.7,False,False,False,False,False,False,True
14,3,2004,13,2.0,7.5,False,False,False,False,False,False,True
14,3,2004,14,1.8,7.5,False,False,False,False,False,False,True
14,3,2004,15,1.9,8.2,False,False,False,False,False,False,True
14,3,2004,16,3.0,11.9,False,False,False,False,False,False,True
14,3,2004,17,2.9,12.0,False,False,False,False,False,False,True
14,3,2004,18,2.5,12.2,False,False,False,False,False,False,True
14,3,2004,19,4.6,20.6,False,False,False,False,False,False,True
14,3,2004,20,5.9,23.1,False,False,False,False,False,False,True
14,3,2004,21,3.4,14.7,False,False,False,False,False,False,True
14,3,2004,22,2.1,9.0,False,False,False,False,False,False,True
14,3,2004,23,2.2,8.8,False,False,False,False,False,False,True
15,3,2004,0,1.8,7.4,True,False,False,False,False,False,False
15,3,2004,1,1.8,6.9,True,False,False,False,False,False,False
15,3,2004,2,1.8,7.0,True,False,False,False,False,False,False
15,3,2004,3,1.1,4.4,True,False,False,False,False,False,False
15,3,2004,4,0.1,4.0,True,False,False,False,False,False,False
15,3,2004,5,1.0,3.9,True,False,False,False,False,False,False
15,3,2004,6,1.4,6.4,True,False,False,False,False,False,False
15,3,2004,7,2.2,9.7,True,False,False,False,False,False,False
15,3,2004,8,5.5,25.9,True,False,False,False,False,False,False
15,3,2004,9,8.1,36.7,True,False,False,False,False,False,False
15,3,2004,10,5.8,26.6,True,False,False,False,False,False,False
15,3,2004,11,4.2,20.1,True,False,False,False,False,False,False
15,3,2004,12,3.1,14.1,True,False,False,False,False,False,False
15,3,2004,13,2.9,14.9,True,False,False,False,False,False,False
15,3,2004,14,2.9,15.4,True,False,False,False,False,False,False
15,3,2004,15,2.5,12.1,True,False,False,False,False,False,False
15,3,2004,16,2.3,11.5,True,False,False,False,False,False,False
15,3,2004,17,2.8,14.8,True,False,False,False,False,False,False
15,3,2004,18,6.1,32.1,True,False,False,False,False,False,False
15,3,2004,19,8.0,39.2,True,False,False,False,False,False,False
15,3,2004,20,6.5,31.0,True,False,False,False,False,False,False
15,3,2004,21,4.2,19.9,True,False,False,False,False,False,False
15,3,2004,22,3.2,15.3,True,False,False,False,False,False,False
15,3,2004,23,1.4,6.9,True,False,False,False,False,False,False
16,3,2004,0,2.1,11.1,False,True,False,False,False,False,False
16,3,2004,1,1.2,5.4,False,True,False,False,False,False,False
16,3,2004,2,0.8,2.8,False,True,False,False,False,False,False
16,3,2004,3,0.7,2.3,False,True,False,False,False,False,False
16,3,2004,4,0.1,2.6,False,True,False,False,False,False,False
16,3,2004,5,0.6,2.0,False,True,False,False,False,False,False
16,3,2004,6,0.9,3.5,False,True,False,False,False,False,False
16,3,2004,7,1.3,5.1,False,True,False,False,False,False,False
16,3,2004,8,3.4,16.2,False,True,False,False,False,False,False
16,3,2004,9,3.7,19.7,False,True,False,False,False,False,False
16,3,2004,10,5.3,25.1,False,True,False,False,False,False,False
16,3,2004,11,4.1,20.0,False,True,False,False,False,False,False
16,3,2004,12,3.3,18.3,False,True,False,False,False,False,False
16,3,2004,13,4.0,22.3,False,True,False,False,False,False,False
16,3,2004,14,3.8,20.4,False,True,False,False,False,False,False
16,3,2004,15,2.8,14.6,False,True,False,False,False,False,False
16,3,2004,16,2.9,16.6,False,True,False,False,False,False,False
16,3,2004,17,2.9,15.8,False,True,False,False,False,False,False
16,3,2004,18,3.4,17.8,False,True,False,False,False,False,False
16,3,2004,19,3.9,19.1,False,True,False,False,False,False,False
16,3,2004,20,3.2,15.8,False,True,False,False,False,False,False
16,3,2004,21,5.1,24.9,False,True,False,False,False,False,False
16,3,2004,22,2.6,13.5,False,True,False,False,False,False,False
16,3,2004,23,1.7,9.1,False,True,False,False,False,False,False
17,3,2004,0,1.7,8.6,False,False,True,False,False,False,False
17,3,2004,1,1.2,5.4,False,False,True,False,False,False,False
17,3,2004,2,0.9,4.1,False,False,True,False,False,False,False
17,3,2004,3,0.7,2.6,False,False,True,False,False,False,False
17,3,2004,4,0.1,1.9,False,False,True,False,False,False,False
17,3,2004,5,0.5,1.6,False,False,True,False,False,False,False
17,3,2004,6,0.5,1.9,False,False,True,False,False,False,False
17,3,2004,7,1.6,7.5,False,False,True,False,False,False,False
17,3,2004,8,4.1,21.4,False,False,True,False,False,False,False
17,3,2004,9,6.6,36.4,False,False,True,False,False,False,False
17,3,2004,10,4.3,21.3,False,False,True,False,False,False,False
17,3,2004,11,2.9,15.4,False,False,True,False,False,False,False
17,3,2004,12,2.5,12.5,False,False,True,False,False,False,False
17,3,2004,13,2.8,15.1,False,False,True,False,False,False,False
17,3,2004,14,2.6,13.7,False,False,True,False,False,False,False
17,3,2004,15,2.0,10.4,False,False,True,False,False,False,False
17,3,2004,16,2.9,15.2,False,False,True,False,False,False,False
17,3,2004,17,2.5,12.3,False,False,True,False,False,False,False
17,3,2004,18,5.0,27.0,False,False,True,False,False,False,False
17,3,2004,19,7.6,38.4,False,False,True,False,False,False,False
17,3,2004,20,6.7,35.1,False,False,True,False,False,False,False
17,3,2004,21,5.7,27.2,False,False,True,False,False,False,False
17,3,2004,22,2.8,15.0,False,False,True,False,False,False,False
17,3,2004,23,2.6,15.7,False,False,True,False,False,False,False
18,3,2004,0,2.3,13.0,False,False,False,True,False,False,False
18,3,2004,1,1.4,8.1,False,False,False,True,False,False,False
18,3,2004,2,1.0,5.5,False,False,False,True,False,False,False
18,3,2004,3,0.7,3.6,False,False,False,True,False,False,False
18,3,2004,4,0.1,2.9,False,False,False,True,False,False,False
18,3,2004,5,0.6,2.5,False,False,False,True,False,False,False
18,3,2004,6,0.7,3.0,False,False,False,True,False,False,False
18,3,2004,7,1.5,7.7,False,False,False,True,False,False,False
18,3,2004,8,4.7,23.3,False,False,False,True,False,False,False
18,3,2004,9,6.6,35.8,False,False,False,True,False,False,False
18,3,2004,10,4.5,21.3,False,False,False,True,False,False,False
18,3,2004,11,2.8,14.3,False,False,False,True,False,False,False
18,3,2004,12,2.2,12.5,False,False,False,True,False,False,False
18,3,2004,13,2.2,12.2,False,False,False,True,False,False,False
18,3,2004,14,2.3,13.1,False,False,False,True,False,False,False
18,3,2004,15,2.2,14.4,False,False,False,True,False,False,False
18,3,2004,16,2.8,16.8,False,False,False,True,False,False,False
18,3,2004,17,2.7,14.5,False,False,False,True,False,False,False
18,3,2004,18,3.7,21.5,False,False,False,True,False,False,False
18,3,2004,19,5.1,26.4,False,False,False,True,False,False,False
18,3,2004,20,5.1,26.0,False,False,False,True,False,False,False
18,3,2004,21,3.2,14.1,False,False,False,True,False,False,False
18,3,2004,22,2.1,10.3,False,False,False,True,False,False,False
18,3,2004,23,1.7,8.3,False,False,False,True,False,False,False
19,3,2004,0,2.0,8.9,False,False,False,False,True,False,False
19,3,2004,1,1.6,6.6,False,False,False,False,True,False,False
19,3,2004,2,0.9,3.6,False,False,False,False,True,False,False
19,3,2004,3,0.7,2.5,False,False,False,False,True,False,False
19,3,2004,4,0.1,1.8,False,False,False,False,True,False,False
19,3,2004,5,0.5,1.3,False,False,False,False,True,False,False
19,3,2004,6,0.7,2.3,False,False,False,False,True,False,False
19,3,2004,7,1.5,6.7,False,False,False,False,True,False,False
19,3,2004,8,4.8,22.8,False,False,False,False,True,False,False
19,3,2004,9,6.2,31.3,False,False,False,False,True,False,False
19,3,2004,10,4.0,19.2,False,False,False,False,True,False,False
19,3,2004,11,3.3,16.4,False,False,False,False,True,False,False
19,3,2004,12,2.8,14.0,False,False,False,False,True,False,False
19,3,2004,13,3.0,15.3,False,False,False,False,True,False,False
19,3,2004,14,3.3,16.7,False,False,False,False,True,False,False
19,3,2004,15,3.5,19.0,False,False,False,False,True,False,False
19,3,2004,16,4.0,19.4,False,False,False,False,True,False,False
19,3,2004,17,4.6,20.9,False,False,False,False,True,False,False
19,3,2004,18,4.1,20.2,False,False,False,False,True,False,False
19,3,2004,19,4.5,21.7,False,False,False,False,True,False,False
19,3,2004,20,3.9,19.8,False,False,False,False,True,False,False
19,3,2004,21,4.0,16.7,False,False,False,False,True,False,False
19,3,2004,22,2.2,9.1,False,False,False,False,True,False,False
19,3,2004,23,2.1,8.3,False,False,False,False,True,False,False
20,3,2004,0,1.7,5.8,False,False,False,False,False,True,False
20,3,2004,1,1.6,5.2,False,False,False,False,False,True,False
20,3,2004,2,1.3,4.1,False,False,False,False,False,True,False
20,3,2004,3,1.3,3.4,False,False,False,False,False,True,False
20,3,2004,4,0.1,2.9,False,False,False,False,False,True,False
20,3,2004,5,0.8,3.1,False,False,False,False,False,True,False
20,3,2004,6,0.8,2.5,False,False,False,False,False,True,False
20,3,2004,7,1.1,4.3,False,False,False,False,False,True,False
20,3,2004,8,2.1,8.9,False,False,False,False,False,True,False
20,3,2004,9,2.4,10.5,False,False,False,False,False,True,False
20,3,2004,10,2.6,12.5,False,False,False,False,False,True,False
20,3,2004,11,2.8,12.3,False,False,False,False,False,True,False
20,3,2004,12,2.6,11.7,False,False,False,False,False,True,False
20,3,2004,13,2.6,11.7,False,False,False,False,False,True,False
20,3,2004,14,2.1,9.3,False,False,False,False,False,True,False
20,3,2004,15,1.7,7.6,False,False,False,False,False,True,False
20,3,2004,16,1.6,6.7,False,False,False,False,False,True,False
20,3,2004,17,2.1,9.7,False,False,False,False,False,True,False
20,3,2004,18,2.3,12.4,False,False,False,False,False,True,False
20,3,2004,19,3.5,16.6,False,False,False,False,False,True,False
20,3,2004,20,3.9,16.4,False,False,False,False,False,True,False
20,3,2004,21,3.3,13.7,False,False,False,False,False,True,False
20,3,2004,22,2.3,9.9,False,False,False,False,False,True,False
20,3,2004,23,2.1,8.9,False,False,False,False,False,True,False
21,3,2004,0,2.8,10.6,False,False,False,False,False,False,True
21,3,2004,1,2.1,7.4,False,False,False,False,False,False,True
21,3,2004,2,1.6,6.2,False,False,False,False,False,False,True
21,3,2004,3,1.6,6.5,False,False,False,False,False,False,True
21,3,2004,4,0.1,5.8,False,False,False,False,False,False,True
21,3,2004,5,1.1,4.0,False,False,False,False,False,False,True
21,3,2004,6,0.7,2.1,False,False,False,False,False,False,True
21,3,2004,7,0.8,3.6,False,False,False,False,False,False,True
